datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2
2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0
2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0
2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0
2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0
2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0
2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0
2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0
2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0
2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0
2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0
2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0
2019-01-01 03:00:00.000,6,3,1030,4,7,82,0,0,0
2019-01-01 03:15:00.000,6,3,1030,3,8,82,0,0,0
2019-01-01 03:30:00.000,6,3,1030,5,6,82,0,0,0
2019-01-01 03:45:00.000,6,3,1030,3,8,81,0,0,0
2019-01-01 04:00:00.000,6,3,1030,3,6,81,0,0,0
2019-01-01 04:15:00.000,6,3,1030,3,5,81,0,0,0
2019-01-01 04:30:00.000,6,3,1030,4,10,82,0,0,0
2019-01-01 04:45:00.000,6,3,1030,4,6,82,0,0,0
2019-01-01 05:00:00.000,6,3,1030,5,7,82,0,0,0
2019-01-01 05:15:00.000,6,3,1030,4,8,82,0,0,0
2019-01-01 05:30:00.000,6,3,1030,5,9,82,0,0,0
2019-01-01 05:45:00.000,5,3,1030,4,10,82,0,0,0
2019-01-01 06:00:00.000,5,3,1030,4,9,83,0,0,0
2019-01-01 06:15:00.000,5,3,1030,4,11,83,0,0,0
2019-01-01 06:30:00.000,5,2,1031,3,6,83,0,0,0
2019-01-01 06:45:00.000,5,2,1031,5,7,84,0,0,0
2019-01-01 07:00:00.000,5,2,1031,4,10,84,0,0,0
2019-01-01 07:15:00.000,5,2,1031,5,11,83,0,0,0
2019-01-01 07:30:00.000,5,2,1031,5,9,84,0,0,0
2019-01-01 07:45:00.000,5,2,1031,5,10,84,0,0,0
2019-01-01 08:00:00.000,5,2,1031,5,10,84,0,0,1
2019-01-01 08:15:00.000,5,2,1031,3,9,84,0,0,9
2019-01-01 08:30:00.000,5,2,1032,4,8,84,0,0,19
2019-01-01 08:45:00.000,5,3,1032,6,9,83,0,0,40
2019-01-01 09:00:00.000,6,3,1032,5,11,82,0,0,73
2019-01-01 09:15:00.000,6,3,1032,3,8,81,0,0,112
2019-01-01 09:30:00.000,7,3,1032,3,6,79,0,0,155
2019-01-01 09:45:00.000,7,3,1032,1,6,76,0,0,196
2019-01-01 10:00:00.000,8,4,1032,3,8,75,0,0,230
2019-01-01 10:15:00.000,8,4,1032,4,6,74,0,0,262
2019-01-01 10:30:00.000,9,4,1032,4,10,72,0,0,291
2019-01-01 10:45:00.000,9,4,1033,3,8,71,0,0,316
2019-01-01 11:00:00.000,10,5,1032,2,6,70,0,0,337
2019-01-01 11:15:00.000,10,5,1032,3,6,68,0,0,357
2019-01-01 11:30:00.000,11,5,1032,2,6,66,0,0,375
2019-01-01 11:45:00.000,12,5,1032,1,4,64,0,0,396
2019-01-01 12:00:00.000,12,5,1032,1,4,62,0,0,406
2019-01-01 12:15:00.000,13,6,1032,1,3,60,0,0,418
2019-01-01 12:30:00.000,14,5,1031,1,4,57,0,0,420
2019-01-01 12:45:00.000,14,5,1031,2,5,55,0,0,423
2019-01-01 13:00:00.000,14,5,1031,3,6,52,0,0,420
2019-01-01 13:15:00.000,15,4,1031,3,6,49,0,0,416
2019-01-01 13:30:00.000,15,5,1031,3,6,50,0,0,407
2019-01-01 13:45:00.000,15,5,1031,2,6,52,0,0,393
2019-01-01 14:00:00.000,15,6,1031,4,7,53,0,0,372
2019-01-01 14:15:00.000,15,6,1031,4,7,54,0,0,291
2019-01-01 14:30:00.000,15,7,1031,5,8,56,0,0,326
2019-01-01 14:45:00.000,15,7,1031,3,8,60,0,0,308
2019-01-01 15:00:00.000,15,7,1031,6,9,60,0,0,292
2019-01-01 15:15:00.000,14,6,1031,5,12,58,0,0,243
2019-01-01 15:30:00.000,14,6,1031,5,11,60,0,0,208
2019-01-01 15:45:00.000,14,6,1031,4,10,60,0,0,192
2019-01-01 16:00:00.000,13,5,1031,8,12,59,0,0,115
2019-01-01 16:15:00.000,13,6,1031,4,8,62,0,0,114
2019-01-01 16:30:00.000,13,6,1031,4,7,65,0,0,69
2019-01-01 16:45:00.000,13,7,1031,4,6,68,0,0,30
2019-01-01 17:00:00.000,12,7,1031,4,8,71,0,0,15
2019-01-01 17:15:00.000,12,7,1031,2,5,74,0,0,8
2019-01-01 17:30:00.000,12,7,1031,2,4,76,0,0,0
2019-01-01 17:45:00.000,11,8,1031,2,4,78,0,0,0
2019-01-01 18:00:00.000,11,8,1031,1,2,80,0,0,0
2019-01-01 18:15:00.000,11,7,1031,0,2,80,0,0,0
2019-01-01 18:30:00.000,11,7,1031,2,4,80,0,0,0
2019-01-01 18:45:00.000,10,7,1031,1,3,81,0,0,0
2019-01-01 19:00:00.000,10,7,1032,2,2,81,0,0,0
2019-01-01 19:15:00.000,10,7,1032,1,4,82,0,0,0
2019-01-01 19:30:00.000,10,7,1032,1,2,83,0,0,0
2019-01-01 19:45:00.000,9,7,1032,2,3,84,0,0,0
2019-01-01 20:00:00.000,9,7,1032,0,2,86,0,0,0
2019-01-01 20:15:00.000,9,7,1032,1,0,86,0,0,0
2019-01-01 20:30:00.000,9,7,1032,0,4,85,0,0,0
2019-01-01 20:45:00.000,9,7,1032,0,2,84,0,0,0
2019-01-01 21:00:00.000,9,6,1032,1,1,86,0,0,0
2019-01-01 21:15:00.000,8,6,1032,0,2,87,0,0,0
2019-01-01 21:30:00.000,8,6,1032,0,0,87,0,0,0
2019-01-01 21:45:00.000,7,6,1032,1,2,88,0,0,0
2019-01-01 22:00:00.000,7,6,1032,2,3,89,0,0,0
2019-01-01 22:15:00.000,7,6,1032,3,4,89,0,0,0
2019-01-01 22:30:00.000,7,6,1032,2,4,90,0,0,0
2019-01-01 22:45:00.000,7,6,1032,1,3,90,0,0,0
2019-01-01 23:00:00.000,7,6,1032,0,2,90,0,0,0
2019-01-01 23:15:00.000,7,5,1032,2,2,89,0,0,0
2019-01-01 23:30:00.000,7,5,1032,0,3,90,0,0,0
2019-01-01 23:45:00.000,7,5,1032,0,2,90,0,0,0
2019-01-02 00:00:00.000,6,5,1032,0,0,91,0,0,0
2019-01-02 00:15:00.000,6,5,1032,1,3,91,0,0,0
