Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962011826046124,0.0,2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0,1.962011826046124
1,2,0,0,0,0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.0,0.0,1.962011826046124,0.0,2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0,1.962011826046124
2,3,0,0,0,0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,1.67655518742056,0.0,2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0,1.67655518742056
3,4,0,0,0,0,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0.0,0.14,1.67655518742056,0.0,2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0,1.67655518742056
4,5,0,0,0,0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,1.159918876668661,0.0,2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0,1.159918876668661
5,6,0,0,0,0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.159918876668661,0.0,2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0,1.159918876668661
6,7,0,0,0,0,0.0,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.14,1.266462551648625,0.0,2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0,1.266462551648625
7,8,0,0,0,0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.14,1.266462551648625,0.0,2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0,1.266462551648625
8,9,0,0,0,0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,1.364965194554629,0.0,2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0,1.364965194554629
9,10,0,0,0,0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0,1.364965194554629,0.0,2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0,1.364965194554629
10,11,0,0,0,0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.6452928239352517,0.0,2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0,0.6452928239352517
11,12,0,0,0,0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.14,0.6452928239352517,0.0,2019-01-01 03:00:00.000,6,3,1030,4,7,82,0,0,0,0.6452928239352517
12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5628722451771666,0.0,2019-01-01 03:15:00.000,6,3,1030,3,8,82,0,0,0,0.5628722451771666
13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5628722451771666,0.0,2019-01-01 03:30:00.000,6,3,1030,5,6,82,0,0,0,0.5628722451771666
