Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.964,0.0,2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0,2.964
1,2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.584,0.0,2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0,2.584
2,3,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.071,0.0,2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0,3.071
3,4,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.694,0.0,2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0,2.694
4,5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.569,0.0,2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0,2.569
5,6,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,3.174,0.0,2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0,3.174
6,7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.558,0.0,2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0,2.558
7,8,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.922,0.0,2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0,2.922
8,9,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.994,0.0,2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0,2.994
9,10,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,3.223,0.0,2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0,3.223
10,11,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.553,0.0,2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0,2.553
11,12,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.047,0.0,2019-01-01 03:00:00.000,6,3,1030,4,7,82,0,0,0,3.047
12,13,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,2019-01-01 03:15:00.000,6,3,1030,3,8,82,0,0,0,3.31
13,14,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.514,0.0,2019-01-01 03:30:00.000,6,3,1030,5,6,82,0,0,0,2.514
14,15,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.972,0.0,2019-01-01 03:45:00.000,6,3,1030,3,8,81,0,0,0,2.972
15,16,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.976,0.0,2019-01-01 04:00:00.000,6,3,1030,3,6,81,0,0,0,2.976
16,17,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.916,0.0,2019-01-01 04:15:00.000,6,3,1030,3,5,81,0,0,0,2.916
17,18,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.602,0.0,2019-01-01 04:30:00.000,6,3,1030,4,10,82,0,0,0,2.602
18,19,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.725,0.0,2019-01-01 04:45:00.000,6,3,1030,4,6,82,0,0,0,2.725
19,20,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.606,0.0,2019-01-01 05:00:00.000,6,3,1030,5,7,82,0,0,0,2.606
20,21,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.374,0.0,2019-01-01 05:15:00.000,6,3,1030,4,8,82,0,0,0,2.374
21,22,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.804,0.0,2019-01-01 05:30:00.000,6,3,1030,5,9,82,0,0,0,2.804
22,23,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.612,0.0,2019-01-01 05:45:00.000,5,3,1030,4,10,82,0,0,0,2.612
23,24,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.358,0.0,2019-01-01 06:00:00.000,5,3,1030,4,9,83,0,0,0,3.358
24,25,0.0,0.598975,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14,2.577,0.0,2019-01-01 06:15:00.000,5,3,1030,4,11,83,0,0,0,2.577
25,26,0.0,0.66925,0.0,0,0,0,0,0.609,0.0,0.0,0.0,0.0,0.0,2.261,0.0,2019-01-01 06:30:00.000,5,2,1031,3,6,83,0,0,0,2.261
26,27,0.0,0.60305625,0.329664,0,0,0,0,0.467,0.0,0.0,0.0,0.032,0.0,3.189,0.0,2019-01-01 06:45:00.000,5,2,1031,5,7,84,0,0,0,3.189
27,28,0.3413875,0.49305,0.731264,0,0,0,0,0.355,0.0295257142857142,0.0,0.0,0.22,0.0,2.471,0.0,2019-01-01 07:00:00.000,5,2,1031,4,10,84,0,0,0,2.471
28,29,0.84413125,0.4906125,0.0,0,0,0,0,0.951,0.0295257142857142,0.0,0.0,0.22,0.0,2.692,0.0,2019-01-01 07:15:00.000,5,2,1031,5,11,83,0,0,0,2.692
29,30,0.52521875,0.6748375,0.0,0,0,0,0,0.964,0.0604857142857142,0.0,0.0,0.22,0.0,2.452,0.0,2019-01-01 07:30:00.000,5,2,1031,5,9,84,0,0,0,2.452
30,31,0.47934375,0.5849375,0.345536,0,0,0,0,0.639,0.05892,0.0,0.0,0.22,0.0,3.048,0.0,2019-01-01 07:45:00.000,5,2,1031,5,10,84,0,0,0,3.048
